Run,Agent,Iteration,Underbid Regret
1,Truthful Learnt 3,7,0.0
1,Truthful Learnt 3,8,0.0
1,Truthful Learnt 3,9,0.0
1,Truthful Learnt 3,10,0.0
1,Truthful Learnt 3,11,0.0
1,Truthful Learnt 3,12,0.0
1,Truthful Learnt 3,13,0.0
1,Truthful Learnt 3,14,0.0
1,Truthful Learnt 3,15,0.0
1,Truthful Learnt 3,16,0.0
1,Truthful Learnt 3,17,0.0
1,Truthful Learnt 3,18,0.0
1,Truthful Learnt 3,19,0.0
1,Truthful Learnt 4,0,0.0
1,Truthful Learnt 4,1,0.0
1,Truthful Learnt 4,2,0.0
1,Truthful Learnt 4,3,0.0
1,Truthful Learnt 4,4,0.0
1,Truthful Learnt 4,5,0.0
1,Truthful Learnt 4,6,0.0
1,Truthful Learnt 4,7,0.0
1,Truthful Learnt 4,8,0.0
1,Truthful Learnt 4,9,0.0
1,Truthful Learnt 4,10,0.0
1,Truthful Learnt 4,11,0.0
1,Truthful Learnt 4,12,0.0
1,Truthful Learnt 4,13,0.0
1,Truthful Learnt 4,14,0.0
1,Truthful Learnt 4,15,0.0
1,Truthful Learnt 4,16,0.0
1,Truthful Learnt 4,17,0.0
1,Truthful Learnt 4,18,0.0
1,Truthful Learnt 4,19,0.0
1,Truthful Learnt 5,0,0.0
1,Truthful Learnt 5,1,0.0
1,Truthful Learnt 5,2,0.0
1,Truthful Learnt 5,3,0.0
1,Truthful Learnt 5,4,0.0
1,Truthful Learnt 5,5,0.0
1,Truthful Learnt 5,6,0.0
1,Truthful Learnt 5,7,0.0
1,Truthful Learnt 5,8,0.0
1,Truthful Learnt 5,9,0.0
1,Truthful Learnt 5,10,0.0
1,Truthful Learnt 5,11,0.0
1,Truthful Learnt 5,12,0.0
1,Truthful Learnt 5,13,0.0
1,Truthful Learnt 5,14,0.0
1,Truthful Learnt 5,15,0.0
1,Truthful Learnt 5,16,0.0
1,Truthful Learnt 5,17,0.0
1,Truthful Learnt 5,18,0.0
1,Truthful Learnt 5,19,0.0
1,Truthful Learnt 6,0,0.0
1,Truthful Learnt 6,1,0.0
1,Truthful Learnt 6,2,0.0
1,Truthful Learnt 6,3,0.0
1,Truthful Learnt 6,4,0.0
1,Truthful Learnt 6,5,0.0
1,Truthful Learnt 6,6,0.0
1,Truthful Learnt 6,7,0.0
1,Truthful Learnt 6,8,0.0
1,Truthful Learnt 6,9,0.0
1,Truthful Learnt 6,10,0.0
1,Truthful Learnt 6,11,0.0
1,Truthful Learnt 6,12,0.0
1,Truthful Learnt 6,13,0.0
1,Truthful Learnt 6,14,0.0
1,Truthful Learnt 6,15,0.0
1,Truthful Learnt 6,16,0.0
1,Truthful Learnt 6,17,0.0
1,Truthful Learnt 6,18,0.0
1,Truthful Learnt 6,19,0.0
2,Truthful Learnt 1,0,0.0
2,Truthful Learnt 1,1,0.0
2,Truthful Learnt 1,2,0.0
2,Truthful Learnt 1,3,0.0
2,Truthful Learnt 1,4,0.0
2,Truthful Learnt 1,5,0.0
2,Truthful Learnt 1,6,0.0
2,Truthful Learnt 1,7,0.0
2,Truthful Learnt 1,8,0.0
2,Truthful Learnt 1,9,0.0
2,Truthful Learnt 1,10,0.0
2,Truthful Learnt 1,11,0.0
2,Truthful Learnt 1,12,0.0
2,Truthful Learnt 1,13,0.0
2,Truthful Learnt 1,14,0.0
2,Truthful Learnt 1,15,0.0
2,Truthful Learnt 1,16,0.0
2,Truthful Learnt 1,17,0.0
2,Truthful Learnt 1,18,0.0
2,Truthful Learnt 1,19,0.0
2,Truthful Learnt 2,0,0.0
2,Truthful Learnt 2,1,0.0
2,Truthful Learnt 2,2,0.0
2,Truthful Learnt 2,3,0.0
2,Truthful Learnt 2,4,0.0
2,Truthful Learnt 2,5,0.0
2,Truthful Learnt 2,6,0.0
2,Truthful Learnt 2,7,0.0
2,Truthful Learnt 2,8,0.0
2,Truthful Learnt 2,9,0.0
2,Truthful Learnt 2,10,0.0
2,Truthful Learnt 2,11,0.0
2,Truthful Learnt 2,12,0.0
2,Truthful Learnt 2,13,0.0
2,Truthful Learnt 2,14,0.0
2,Truthful Learnt 2,15,0.0
2,Truthful Learnt 2,16,0.0
2,Truthful Learnt 2,17,0.0
2,Truthful Learnt 2,18,0.0
2,Truthful Learnt 2,19,0.0
2,Truthful Learnt 3,0,0.0
2,Truthful Learnt 3,1,0.0
2,Truthful Learnt 3,2,0.0
2,Truthful Learnt 3,3,0.0
2,Truthful Learnt 3,4,0.0
2,Truthful Learnt 3,5,0.0
2,Truthful Learnt 3,6,0.0
2,Truthful Learnt 3,7,0.0
2,Truthful Learnt 3,8,0.0
2,Truthful Learnt 3,9,0.0
2,Truthful Learnt 3,10,0.0
2,Truthful Learnt 3,11,0.0
2,Truthful Learnt 3,12,0.0
2,Truthful Learnt 3,13,0.0
2,Truthful Learnt 3,14,0.0
2,Truthful Learnt 3,15,0.0
2,Truthful Learnt 3,16,0.0
2,Truthful Learnt 3,17,0.0
2,Truthful Learnt 3,18,0.0
2,Truthful Learnt 3,19,0.0
2,Truthful Learnt 4,0,0.0
2,Truthful Learnt 4,1,0.0
2,Truthful Learnt 4,2,0.0
2,Truthful Learnt 4,3,0.0
2,Truthful Learnt 4,4,0.0
2,Truthful Learnt 4,5,0.0
2,Truthful Learnt 4,6,0.0
2,Truthful Learnt 4,7,0.0
2,Truthful Learnt 4,8,0.0
2,Truthful Learnt 4,9,0.0
2,Truthful Learnt 4,10,0.0
2,Truthful Learnt 4,11,0.0
2,Truthful Learnt 4,12,0.0
2,Truthful Learnt 4,13,0.0
2,Truthful Learnt 4,14,0.0
2,Truthful Learnt 4,15,0.0
2,Truthful Learnt 4,16,0.0
2,Truthful Learnt 4,17,0.0
2,Truthful Learnt 4,18,0.0
2,Truthful Learnt 4,19,0.0
2,Truthful Learnt 5,0,0.0
2,Truthful Learnt 5,1,0.0
2,Truthful Learnt 5,2,0.0
2,Truthful Learnt 5,3,0.0
2,Truthful Learnt 5,4,0.0
2,Truthful Learnt 5,5,0.0
2,Truthful Learnt 5,6,0.0
2,Truthful Learnt 5,7,0.0
2,Truthful Learnt 5,8,0.0
2,Truthful Learnt 5,9,0.0
2,Truthful Learnt 5,10,0.0
2,Truthful Learnt 5,11,0.0
2,Truthful Learnt 5,12,0.0
2,Truthful Learnt 5,13,0.0
2,Truthful Learnt 5,14,0.0
2,Truthful Learnt 5,15,0.0
2,Truthful Learnt 5,16,0.0
2,Truthful Learnt 5,17,0.0
2,Truthful Learnt 5,18,0.0
2,Truthful Learnt 5,19,0.0
2,Truthful Learnt 6,0,0.0
2,Truthful Learnt 6,1,0.0
2,Truthful Learnt 6,2,0.0
2,Truthful Learnt 6,3,0.0
2,Truthful Learnt 6,4,0.0
2,Truthful Learnt 6,5,0.0
2,Truthful Learnt 6,6,0.0
2,Truthful Learnt 6,7,0.0
2,Truthful Learnt 6,8,0.0
2,Truthful Learnt 6,9,0.0
2,Truthful Learnt 6,10,0.0
2,Truthful Learnt 6,11,0.0
2,Truthful Learnt 6,12,0.0
2,Truthful Learnt 6,13,0.0
2,Truthful Learnt 6,14,0.0
2,Truthful Learnt 6,15,0.0
2,Truthful Learnt 6,16,0.0
2,Truthful Learnt 6,17,0.0
2,Truthful Learnt 6,18,0.0
2,Truthful Learnt 6,19,0.0
